timestamp,city,temperature,description
2025-12-13T14:11:09.012Z,London,10.39,broken clouds
2025-12-13T14:11:09.017Z,London,10.39,broken clouds
2025-12-13T16:13:44.590Z,London,8.78,scattered clouds
2025-12-13T16:13:44.592Z,London,8.78,scattered clouds
2025-12-13T18:15:44.804Z,London,7.55,broken clouds
2025-12-13T18:15:44.806Z,London,7.55,broken clouds
2025-12-13T20:12:44.437Z,London,7.37,overcast clouds
2025-12-13T20:12:44.439Z,London,7.37,overcast clouds
2025-12-13T22:11:17.996Z,London,6.69,overcast clouds
2025-12-13T22:11:18.014Z,London,6.69,overcast clouds
2025-12-14T01:03:48.795Z,London,7.12,few clouds
2025-12-14T01:03:48.797Z,London,7.12,few clouds
2025-12-14T03:22:00.828Z,London,6.81,scattered clouds
2025-12-14T03:22:00.830Z,London,6.81,scattered clouds
2025-12-14T04:29:32.779Z,London,6.84,scattered clouds
2025-12-14T04:29:32.781Z,London,6.84,scattered clouds
2025-12-14T06:17:42.453Z,London,6.8,scattered clouds
2025-12-14T06:17:42.455Z,London,6.8,scattered clouds
2025-12-14T08:15:48.618Z,London,6.99,overcast clouds
2025-12-14T08:15:48.620Z,London,6.99,overcast clouds
2025-12-14T10:12:29.936Z,London,9.08,scattered clouds
2025-12-14T10:12:29.939Z,London,9.08,scattered clouds
2025-12-14T12:21:59.899Z,London,10.48,broken clouds
2025-12-14T12:21:59.901Z,London,10.61,broken clouds
2025-12-14T14:10:57.349Z,London,10.83,few clouds
2025-12-14T14:10:57.351Z,London,10.83,few clouds
2025-12-14T16:13:25.993Z,London,9.65,scattered clouds
2025-12-14T16:13:25.994Z,London,9.75,scattered clouds
2025-12-14T18:16:52.598Z,London,9.82,scattered clouds
2025-12-14T18:16:52.600Z,London,9.82,scattered clouds
2025-12-14T20:13:03.660Z,London,10.38,scattered clouds
2025-12-14T20:13:03.662Z,London,10.38,scattered clouds
2025-12-14T22:11:24.468Z,London,10.82,broken clouds
2025-12-14T22:11:24.594Z,London,10.82,broken clouds
2025-12-15T01:01:24.196Z,London,11.03,overcast clouds
2025-12-15T01:01:24.199Z,London,11.03,overcast clouds
2025-12-15T03:23:00.265Z,London,10.75,overcast clouds
2025-12-15T03:23:00.267Z,London,10.75,overcast clouds
2025-12-15T04:32:36.749Z,London,10.53,overcast clouds
2025-12-15T04:32:36.751Z,London,10.53,overcast clouds
2025-12-15T06:22:11.160Z,London,10.43,overcast clouds
2025-12-15T06:22:11.161Z,London,10.43,overcast clouds
2025-12-15T08:20:07.351Z,London,10.3,overcast clouds
2025-12-15T08:20:07.353Z,London,10.3,overcast clouds
